CATALOG_KEY,DESCRIPCION
1,ATENCIÓN A ADICCIONES
2,ATENCIÓN A LA VIOLENCIA
3,CIRUGÍA
4,CONSULTA EXTERNA GENERAL
5,GINECOOBSTETRICIA
6,HOMEOPATÍA
7,MEDICINA INTERNA
8,MEDICINA PREVENTIVA
9,MEDICINA TRADICIONAL
10,ODONTOLOGÍA
11,ODONTOLOGÍA ESPECIALIZADA
12,ODONTOPEDIATRÍA
13,OFTALMOLOGÍA
14,OTORRINOLARINGOLOGÍA
15,PAIDOPSIQUIATRÍA
16,PEDIATRÍA
17,PLANIFICACIÓN FAMILIAR
18,PRECONSULTA
19,PSICOGERIATRÍA
20,PSICOLOGÍA
21,PSIQUIATRÍA
22,SERVICIO AMIGABLE
23,TRAUMATOLOGÍA Y ORTOPEDIA
24,ACUPUNTURA
25,ALERGOLOGÍA
26,ANESTESIOLOGÍA
27,ANGIOLOGÍA
28,"AUDIOLOGÍA, OTONEUROLOGÍA Y FONIATRÍA"
29,BRIGADA O CONSULTA EN CASA
30,CARDIOLOGÍA
31,CIRUGÍA MAXILOFACIAL
32,CIRUGÍA PLÁSTICA Y RECONSTRUCTIVA
33,CLÍNICA DE DOWN
34,DERMATOLOGÍA
35,ENDOCRINOLOGÍA
36,EPIDEMIOLOGÍA
37,GASTROENTEROLOGÍA
38,GENÉTICA
39,GERIATRÍA
40,HEMATOLOGÍA
41,INFECTOLOGÍA
42,INMUNOLOGÍA
43,MEDICINA INTEGRADA
44,MEDICINA NUCLEAR E IMAGENOLOGÍA MOLECULAR
45,NEFROLOGÍA
46,NEONATOLOGÍA
47,NEUMOLOGÍA
48,NEUROCIRUGÍA
49,NEUROLOGÍA
50,NUTRICIÓN
51,ONCOLOGÍA
52,OPTOMETRIA
53,PROCTOLOGÍA
54,REHABILITACIÓN
55,REUMATOLOGÍA
56,TAES
57,TRANSPLANTES
58,UNIDAD DE QUEMADOS
59,UROLOGÍA
60,DETECCIONES
61,CUIDADOS PALIATIVOS
62,GERONTOLOGÍA
63,UNIDAD DE CONTACTO PARA INTERCONSULTA A DISTANCIA (UCID)
64,CALLCENTER
65,ÁREA DE URGENCIAS
66,ÁREA DE HOSPITALIZACIÓN
67,TERAPIA INTENSIVA O INTERMEDIA
68,ÁREA DE CONSULTA EXTERNA
69,MEDICINA FAMILIAR
70,SERVICIO ESPECIALIZADO PARA LA ATENCIÓN DE VIH/ITS
71,SERVICIO DE ATENCIÓN INTEGRAL A LA SALUD (SAIS)
72,ONCOLOGÍA PEDÍATRICA
88,OTROS
